CEC Plant ID,Capacity (MW),Net Generation (MWh),Total Fuel Use (MMBtu),State,Year
H0155,50,162879,0,CA,2021
H0156,22,59474,0,CA,2021
H0157,27,22542,0,CA,2021
H0160,2,3094,0,CA,2021
H0161,199,39742,0,CA,2021
H0164,644,427867,0,CA,2021
H0167,20,28752,0,CA,2021
H0168,3,3013,0,CA,2021
H0171,99,171087,0,CA,2021
H0174,24,0,0,CA,2021
H0175,95,134450,0,CA,2021
H0177,2,8223,0,CA,2021
H0186,207,155560,0,CA,2021
H0187,2,3357,0,CA,2021
H0188,9,24241,0,CA,2021
H0189,10,6809,0,CA,2021
H0191,40,49467,0,CA,2021
H0192,15,13796,0,CA,2021
H0193,2,-6,0,CA,2021
H0195,15,9173,0,CA,2021
H0198,31,11170,0,CA,2021
H0209,0,1767,0,CA,2021
H0211,1,0,0,CA,2021
H0213,21,0,0,CA,2021
H0215,144,97625,0,CA,2021
H0216,6,-1,0,CA,2021
H0217,11,26745,0,CA,2021
H0218,5,0,0,CA,2021
H0221,9,27916,0,CA,2021
H0222,9,21008,0,CA,2021
H0226,5,451,0,CA,2021
H0228,1,2384,0,CA,2021
H0229,1212,-423989,0,CA,2021
H0234,1,2436,0,CA,2021
H0235,1,162,0,CA,2021
H0236,5,14469,0,CA,2021
H0237,1,115,0,CA,2021
H0238,1,5554,0,CA,2021
H0240,3,453,0,CA,2021
H0241,2,4304,0,CA,2021
H0242,2080,3508591,0,NV,2021
H0243,3,1174,0,CA,2021
H0244,8,0,0,CA,2021
H0245,18,75595,0,CA,2021
H0250,172,367117,0,CA,2021
H0253,162,184435,0,CA,2021
H0255,10,1394,0,CA,2021
H0257,154,330616,0,CA,2021
H0259,1,-88,0,CA,2021
H0260,2,2359,0,CA,2021
H0261,5,-79,0,CA,2021
H0262,20,988,0,CA,2021
H0263,10,39223,0,CA,2021
H0265,25,0,0,CA,2021
H0266,155,126270,0,CA,2021
H0267,12,0,0,CA,2021
H0268,25,122359,0,CA,2021
H0269,37,44113,0,CA,2021
H0270,117,288390,0,CA,2021
H0271,3,-14,0,CA,2021
H0272,52,22845,0,CA,2021
H0274,118,322541,0,CA,2021
H0275,116,160093,0,CA,2021
H0276,4,7345,0,CA,2021
H0282,5,24831,0,CA,2021
H0283,4,1749,0,CA,2021
H0284,5,7774,0,CA,2021
H0286,0,548,0,CA,2021
H0287,2,0,0,CA,2021
H0289,74,51220,0,CA,2021
H0296,3,4116,0,CA,2021
H0298,1,1305,0,CA,2021
H0310,4,478,0,CA,2021
H0311,30,10014,0,CA,2021
H0313,187,293325,0,CA,2021
H0316,9,17560,0,CA,2021
H0321,7,3077,0,CA,2021
H0322,2,1269,0,CA,2021
H0323,2,11718,0,CA,2021
H0324,4,6300,0,CA,2021
H0325,3,4020,0,CA,2021
H0328,38,28926,0,CA,2021
H0331,1,3033,0,CA,2021
H0332,0,2901,0,CA,2021
H0333,3,2902,0,CA,2021
H0336,3,0,0,CA,2021
H0337,33,10322,0,CA,2021
H0341,4,3903,0,CA,2021
H0343,12,31523,0,CA,2021
H0346,4,10040,0,CA,2021
H0347,1,2529,0,CA,2021
H0348,12,71029,0,CA,2021
H0349,1,451,0,CA,2021
H0351,4,4861,0,CA,2021
H0352,315,483093,0,CA,2021
H0353,300,379400,0,CA,2021
H0354,55,25101,0,CA,2021
H0356,6,7288,0,CA,2021
H0357,12,5476,0,CA,2021
H0360,14,22327,0,CA,2021
H0362,2,181,0,CA,2021
H0363,25,9822,0,CA,2021
H0364,1,2982,0,CA,2021
H0367,14,3600,0,CA,2021
H0371,5,3358,0,CA,2021
H0372,1,1887,0,CA,2021
H0373,0,642,0,CA,2021
H0374,6,8660,0,CA,2021
H0380,24,27571,0,CA,2021
H0381,120,437032,0,CA,2021
H0382,8,0,0,CA,2021
H0383,2,5336,0,CA,2021
H0385,33,20859,0,CA,2021
H0387,165,52032,0,CA,2021
H0388,63,141878,0,CA,2021
H0389,69,188389,0,CA,2021
H0390,95,186845,0,CA,2021
H0391,160,465088,0,CA,2021
H0392,80,226189,0,CA,2021
H0393,112,274480,0,CA,2021
H0394,3,3665,0,CA,2021
H0395,120,226046,0,CA,2021
H0398,10,15844,0,CA,2021
H0401,9,2633,0,CA,2021
H0406,79,117502,0,CA,2021
H0408,6,13829,0,CA,2021
H0412,2,0,0,CA,2021
H0414,26,23043,0,CA,2021
H0417,112,214672,0,CA,2021
H0422,4,143,0,CA,2021
H0424,14,32408,0,CA,2021
H0426,8,22062,0,CA,2021
H0427,1,0,0,CA,2021
H0428,5,0,0,CA,2021
H0431,46,69563,0,CA,2021
H0437,10,0,0,CA,2021
H0438,6,89,0,CA,2021
H0440,46,1242,0,CA,2021
H0441,69,10179,0,CA,2021
H0442,5,1341,0,CA,2021
H0443,1,0,0,CA,2021
H0448,0,0,0,CA,2021
H0449,3,0,0,CA,2021
H0450,4,0,0,CA,2021
H0452,424,-18027,0,CA,2021
H0460,3,-67,0,CA,2021
H0462,3,305,0,CA,2021
H0467,1,0,0,CA,2021
H0471,8,5324,0,CA,2021
H0472,9,0,0,CA,2021
H0475,714,989275,0,CA,2021
H0479,0,1204,0,CA,2021
H0482,0,0,0,CA,2021
H0483,4,7246,0,CA,2021
H0484,12,9331,0,CA,2021
H0485,3,0,0,CA,2021
H0486,7,16290,0,CA,2021
H0488,5,0,0,CA,2021
H0489,3,3,0,CA,2021
H0490,7,12398,0,CA,2021
H0491,4,8872,0,CA,2021
H0492,6,5664,0,CA,2021
H0493,180,264458,0,CA,2021
H0495,7,14184,0,CA,2021
H0497,4,5388,0,CA,2021
H0498,91,130742,0,CA,2021
H0499,10,11401,0,CA,2021
H0500,5,1902,0,CA,2021
H0503,1,0,0,CA,2021
H0507,3,467,0,CA,2021
H0509,3,9949,0,CA,2021
H0510,115,80813,0,CA,2021
H0511,3,10860,0,CA,2021
H0512,1,3293,0,CA,2021
H0516,60,143590,0,CA,2021
H0518,1,1001,0,CA,2021
H0519,16,33807,0,CA,2021
H0520,140,265201,0,CA,2021
H0523,6,0,0,CA,2021
H0525,3,-97,0,CA,2021
H0527,31,113836,0,CA,2021
H0530,3,0,0,CA,2021
H0532,47,32679,0,CA,2021
H0533,1,0,0,CA,2021
H0535,4,7339,0,CA,2021
H0536,38,19850,0,CA,2021
H0539,4,4720,0,CA,2021
H0541,10,0,0,CA,2021
H0545,9,23440,0,CA,2021
H0546,1,2616,0,CA,2021
H0547,2,1847,0,CA,2021
H0558,14,38611,0,CA,2021
H0564,4,18693,0,CA,2021
H0565,266,150830,0,CA,2021
H0567,74,221172,0,CA,2021
H0569,17,39448,0,CA,2021
H0570,18,19098,0,CA,2021
H0573,59,79488,0,CA,2021
H0576,3,0,0,CA,2021
H0577,5,2156,0,CA,2021
H0601,100,298572,0,CA,2021
H0611,30,4405,0,CA,2021
H0612,5,9945,0,CA,2021
H0613,40,-15115,0,CA,2021
H0616,1,0,0,CA,2021
H0623,5,999,0,CA,2021
H0626,7,29083,0,CA,2021
H0627,3,0,0,CA,2021
H0628,1,1360,0,CA,2021
H0629,1,1169,0,CA,2021
H0631,1,1190,0,CA,2021
H0632,1,104,0,CA,2021
N0001,2393,16477369,170243630,CA,2021
S0071,34,0,0,CA,2021
S0072,34,0,0,CA,2021
S0073,92,116141,1490809,CA,2021
S0074,34,0,0,CA,2021
S0075,35,0,0,CA,2021
S0076,35,0,0,CA,2021
S0077,92,81374,1067547,CA,2021
S0078,126,234983,537680,CA,2021
S0079,133,252352,390748,CA,2021
S0080,133,252246,449626,CA,2021
S0081,110,250129,0,CA,2021
S0104,250,587963,0,CA,2021
S0110,2,3093,0,CA,2021
S0111,21,42534,0,CA,2021
S0114,1,1712,0,CA,2021
S0115,1,1298,0,CA,2021
S0116,4,5916,0,CA,2021
S0118,1,1189,0,CA,2021
S0120,1,1568,0,CA,2021
S0121,5,5271,0,CA,2021
S0122,1,1479,0,CA,2021
S0123,5,6317,0,CA,2021
S0126,6,11002,0,CA,2021
S0127,20,36799,0,CA,2021
S0128,1,473,0,CA,2021
S0129,1,2495,0,CA,2021
S0130,2,4042,0,CA,2021
S0131,19,36513,0,CA,2021
S0133,2,2184,0,CA,2021
S0136,3,2847,0,CA,2021
S0138,15,20840,0,CA,2021
S0139,20,31998,0,CA,2021
S0140,15,20948,0,CA,2021
S0142,1,1927,0,CA,2021
S0144,1,1524,0,CA,2021
S0151,4,6713,0,CA,2021
S0152,2,2841,0,CA,2021
S0154,1,1439,0,CA,2021
S0155,3,5500,0,CA,2021
S0156,18,28674,0,CA,2021
S0157,3,5385,0,CA,2021
S0158,3,3945,0,CA,2021
