,Nuclear,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle,onshore_wind_turbine,solar_photovoltaic,actual_solar,actual_wind,charge,discharge,soc,demand,net_supply,curtail,Hour
164,0.0,1483.7036072368,-619.6800000000001,0.0,22.172935844399944,1502.8034569188,1192.9634569188,-287.6670641556001,619.6800000000001,0.0,7768.379928669832,2389,2389.0,5.684341886080803e-14,165
165,0.0,1564.8816916794565,-770.8816683518564,0.0,32.1288913332,1478.8710853392,1093.4302511632718,-353.31194284272823,770.8816683518564,0.0,8415.920530085392,2305,2305.0,0.0,166
166,0.0,988.0483303086562,-151.20166835185637,0.0,28.243287042,1373.9100510012,1298.309216825272,-47.357547133928186,151.20166835185637,0.0,8542.929931500952,2239,2239.0,0.0,167
167,0.0,356.4430642883997,670.2611424608001,0.0,14.4918999972,1144.8038932536,1144.8038932536,14.4918999972,0.0,670.2611424608001,7745.0,2186,2186.0,0.0,168
168,100.0,343.23,1039.750410956,0.0,5.6538921552,728.3656968888,728.3656968888,5.6538921552,0.0,1039.750410956,7745.0,2217,2217.0,0.0,169
169,100.0,1938.462217114,420.07041095599993,0.0,29.46737193,0.0,0.0,29.46737193,0.0,420.07041095599993,7244.916177433333,2488,2488.0,0.0,170
170,100.0,2099.05,172.36954449840005,0.0,123.5804555016,0.0,0.0,123.5804555016,0.0,172.36954449840005,7039.714338744762,2495,2494.9999999999995,0.0,171
171,100.0,2014.743728372,0.0,0.0,330.25627162800004,0.0,0.0,330.25627162800004,0.0,0.0,7039.714338744762,2445,2445.0,0.0,172
172,0.0,1710.168321604,0.0,0.0,669.831678396,0.0,0.0,669.831678396,0.0,0.0,7039.714338744762,2380,2380.0,0.0,173
173,0.0,1333.4387809684,0.0,0.0,854.5612190316001,0.0,0.0,854.5612190316001,0.0,0.0,7039.714338744762,2188,2188.0,0.0,174
174,0.0,989.6086294196,0.0,0.0,908.3913705804,0.0,0.0,908.3913705804,0.0,0.0,7039.714338744762,1898,1898.0,0.0,175
175,0.0,870.5713076176,0.0,0.0,801.4286923824,0.0,0.0,801.4286923824,0.0,0.0,7039.714338744762,1672,1672.0,0.0,176
176,0.0,1055.6977264732,0.0,0.0,466.3022735268,0.0,0.0,466.3022735268,0.0,0.0,7039.714338744762,1522,1522.0,0.0,177
177,0.0,912.3501314,0.0,0.0,538.6498686,0.0,0.0,538.6498686,0.0,0.0,7039.714338744762,1451,1451.0,0.0,178
178,0.0,862.9589715312,0.0,0.0,598.0410284688,0.0,0.0,598.0410284688,0.0,0.0,7039.714338744762,1461,1461.0,0.0,179
179,0.0,665.4308954416,0.0,0.0,865.5691045584,0.0,0.0,865.5691045584,0.0,0.0,7039.714338744762,1531,1531.0,0.0,180
180,0.0,1019.6376462424,0.0,0.0,670.3623537576,0.0,0.0,670.3623537576,0.0,0.0,7039.714338744762,1690,1690.0,0.0,181
181,0.0,725.7244356875999,0.0,0.0,1185.2755643124,0.0,0.0,1185.2755643124,0.0,0.0,7039.714338744762,1911,1911.0,0.0,182
182,0.0,915.0297093236,0.0,0.0,1234.9702906764,0.0,0.0,1234.9702906764,0.0,0.0,7039.714338744762,2150,2150.0,0.0,183
183,0.0,865.7178491139998,0.0,0.0,1129.2645373080002,253.017613578,253.017613578,1129.2645373080002,0.0,0.0,7039.714338744762,2248,2248.0,0.0,184
184,0.0,399.1171236611999,0.0,0.0,1089.1464339684,848.7364423704,848.7364423704,1089.1464339684,0.0,0.0,7039.714338744762,2337,2337.0,0.0,185
185,0.0,352.48,-277.15471411040016,0.0,1121.8295438556,1204.8451702548,1066.2678131996,983.2521868004,277.15471411040016,0.0,7272.524298597498,2402,2402.0,0.0,186
186,0.0,353.13,-206.41031262000013,0.0,863.4101146512,1404.8701979688,1301.6650416588,760.2049583411999,206.41031262000013,0.0,7445.908961198298,2415,2415.0,0.0,187
187,0.0,357.08,-463.8155342199999,0.0,1078.2265476491998,1522.5089865708,1290.6012194608002,846.3187805391999,463.8155342199999,0.0,7835.514009943098,2494,2494.0,2.273736754432321e-13,188
188,0.0,610.474769634153,-487.58311026615286,0.0,796.9890089651999,1540.1193316668,1296.3277765337236,553.1974538321235,487.58311026615286,0.0,8245.083822566667,2460,2460.0,1.1368683772161605e-13,189
189,0.0,471.30715748960006,0.0,0.0,416.8576949376,1495.8351475728,1495.8351475728,416.8576949376,0.0,0.0,8245.083822566667,2384,2384.0,5.684341886080803e-14,190
190,0.0,588.4440921031999,0.0,0.0,355.9370223024,1370.6188855944,1370.6188855944,355.9370223024,0.0,0.0,8245.083822566667,2315,2315.0,0.0,191
191,0.0,375.3697938936,420.07041095599993,0.0,314.45587238400003,1133.1039227664,1133.1039227664,314.45587238400003,0.0,420.07041095599993,7745.0,2243,2243.0,0.0,192
192,0.0,343.83,933.1392982763998,0.0,199.3646610744,752.6660406492,752.6660406492,199.3646610744,0.0,933.1392982763998,7745.0,2229,2229.0,0.0,193
193,0.0,1901.150000000005,482.2186126391944,0.0,69.6313873608,0.0,0.0,69.6313873608,0.0,482.2186126391944,7170.930223048578,2453,2453.0,0.0,194
194,0.0,1899.2499999999995,517.3768336728001,0.0,74.3731663272,0.0,0.0,74.3731663272,0.0,517.3768336728001,6555.00542105715,2491,2490.9999999999995,0.0,195
195,0.0,1900.9500000000037,131.07755518319584,0.0,424.9724448168,0.0,0.0,424.9724448168,0.0,131.07755518319584,6398.960712505726,2457,2456.999999999999,0.0,196
196,0.0,1690.6146913896,0.0,0.0,694.3853086104001,0.0,0.0,694.3853086104001,0.0,0.0,6398.960712505726,2385,2385.0,0.0,197
197,0.0,1797.260927024,0.0,0.0,322.739072976,0.0,0.0,322.739072976,0.0,0.0,6398.960712505726,2120,2120.0,0.0,198
198,0.0,1424.9263798884,0.0,0.0,378.0736201116,0.0,0.0,378.0736201116,0.0,0.0,6398.960712505726,1803,1803.0,0.0,199
199,0.0,1206.2055634436,0.0,0.0,349.7944365564,0.0,0.0,349.7944365564,0.0,0.0,6398.960712505726,1556,1556.0,0.0,200
200,0.0,930.3372230068,0.0,0.0,495.6627769932,0.0,0.0,495.6627769932,0.0,0.0,6398.960712505726,1426,1426.0,0.0,201
201,0.0,962.0770774856,0.0,0.0,407.9229225144,0.0,0.0,407.9229225144,0.0,0.0,6398.960712505726,1370,1370.0,0.0,202
202,0.0,1340.1476388624,0.0,0.0,66.8523611376,0.0,0.0,66.8523611376,0.0,0.0,6398.960712505726,1407,1407.0,0.0,203
203,0.0,1380.7846208468,0.0,0.0,118.2153791532,0.0,0.0,118.2153791532,0.0,0.0,6398.960712505726,1499,1499.0,0.0,204
