,tech,existing_cap_mw,total_electricity_rev_$,unit_rev_$_per_mw,capacity_price_$_per_mw_day,adjustment_factor,total_capacity_rev_$,day
79,geothermal,2323.8,2123.8636849315067,0.9139614790134722,28.92,0.9,60483.866400000006,13
80,hydroelectric_pumped_storage,1549.2,-221.34628207087397,-0.1428777963277007,28.92,0.9,40322.5776,13
81,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,13
82,onshore_wind_turbine,1549.2,10141.66183107538,6.546386413036005,28.92,0.4,17921.1456,13
83,solar_photovoltaic,1549.2,22115.74148103747,14.275588355949823,28.92,0.4,17921.1456,13
84,Nuclear,500.0,94742.05815244927,189.48411630489852,28.92,0.9,13014.0,14
85,geothermal,2323.8,1769.886404109589,0.7616345658445602,28.92,0.9,60483.866400000006,14
86,hydroelectric_pumped_storage,1549.2,2048.560259061782,1.322334275149614,28.92,0.9,40322.5776,14
87,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,14
88,onshore_wind_turbine,1549.2,56115.80032508732,36.22243759688053,28.92,0.4,17921.1456,14
89,solar_photovoltaic,1549.2,28237.914951209827,18.22741734521677,28.92,0.4,17921.1456,14
90,Nuclear,500.0,86660.99555279875,173.3219911055975,28.92,0.9,13014.0,15
91,geothermal,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,15
92,hydroelectric_pumped_storage,1549.2,1542.361651163549,0.99558588378747,28.92,0.9,40322.5776,15
93,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,15
94,onshore_wind_turbine,1549.2,83334.82279998611,53.792165504767695,28.92,0.4,17921.1456,15
95,solar_photovoltaic,1549.2,22391.81306714748,14.45379103224082,28.92,0.4,17921.1456,15
96,Nuclear,500.0,113025.77086769254,226.0515417353851,28.92,0.9,13014.0,16
97,geothermal,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,16
98,hydroelectric_pumped_storage,1549.2,1408.1915446554108,0.908979824848574,28.92,0.9,40322.5776,16
99,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,16
100,onshore_wind_turbine,1549.2,54255.34464319443,35.02152378207748,28.92,0.4,17921.1456,16
101,solar_photovoltaic,1549.2,37513.078341649394,24.21448382497379,28.92,0.4,17921.1456,16
102,Nuclear,500.0,158750.41086876477,317.5008217375295,28.92,0.9,13014.0,17
103,geothermal,2323.8,6017.613773972602,2.5895575238715045,28.92,0.9,60483.866400000006,17
104,hydroelectric_pumped_storage,1549.2,-1506.7026826297863,-0.9725682175508562,28.92,0.9,40322.5776,17
105,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,17
106,onshore_wind_turbine,1549.2,2209.538109209117,1.426244583791065,28.92,0.4,17921.1456,17
107,solar_photovoltaic,1549.2,41772.21853349148,26.96373517524625,28.92,0.4,17921.1456,17
108,Nuclear,500.0,156008.05703459372,312.01611406918744,28.92,0.9,13014.0,18
109,geothermal,2323.8,2477.8409657534244,1.0662883921823842,28.92,0.9,60483.866400000006,18
110,hydroelectric_pumped_storage,1549.2,-1160.7004239166763,-0.7492256802973641,28.92,0.9,40322.5776,18
111,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,18
112,onshore_wind_turbine,1549.2,10647.921190671072,6.873174019281612,28.92,0.4,17921.1456,18
113,solar_photovoltaic,1549.2,41446.920112761465,26.75375685047861,28.92,0.4,17921.1456,18
114,Nuclear,500.0,102727.23621949017,205.4544724389803,28.92,0.9,13014.0,19
115,geothermal,2323.8,1.1469128939352975e-11,4.935506041549608e-15,28.92,0.9,60483.866400000006,19
116,hydroelectric_pumped_storage,1549.2,1383.4873692478382,0.8930334167620954,28.92,0.9,40322.5776,19
117,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,19
118,onshore_wind_turbine,1549.2,60778.03501705935,39.23188420930761,28.92,0.4,17921.1456,19
119,solar_photovoltaic,1549.2,39402.14947495608,25.43386875481286,28.92,0.4,17921.1456,19
120,Nuclear,500.0,85742.56046572473,171.48512093144947,28.92,0.9,13014.0,20
121,geothermal,2323.8,1415.9091232876713,0.6093076526756482,28.92,0.9,60483.866400000006,20
122,hydroelectric_pumped_storage,1549.2,1084.9143262849282,0.7003061749838162,28.92,0.9,40322.5776,20
123,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,20
124,onshore_wind_turbine,1549.2,93272.58090847309,60.20693319679388,28.92,0.4,17921.1456,20
125,solar_photovoltaic,1549.2,13957.369191709022,9.009404332370917,28.92,0.4,17921.1456,20
126,Nuclear,500.0,98014.649754988,196.029299509976,28.92,0.9,13014.0,21
127,geothermal,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,21
128,hydroelectric_pumped_storage,1549.2,-4.4669239026953706e-11,-2.883374582168455e-14,28.92,0.9,40322.5776,21
129,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,21
130,onshore_wind_turbine,1549.2,62382.72082495692,40.26769999028978,28.92,0.4,17921.1456,21
131,solar_photovoltaic,1549.2,30853.0144753291,19.91544957095862,28.92,0.4,17921.1456,21
132,Nuclear,500.0,134606.65226279828,269.2133045255965,28.92,0.9,13014.0,22
133,geothermal,2323.8,1769.886404109589,0.7616345658445602,28.92,0.9,60483.866400000006,22
134,hydroelectric_pumped_storage,1549.2,1152.680561330936,0.744048903518549,28.92,0.9,40322.5776,22
135,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,22
136,onshore_wind_turbine,1549.2,49317.2732369532,31.83402610182881,28.92,0.4,17921.1456,22
137,solar_photovoltaic,1549.2,19044.39292487647,12.29304991277851,28.92,0.4,17921.1456,22
138,Nuclear,500.0,130452.26725319582,260.90453450639166,28.92,0.9,13014.0,23
139,geothermal,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,23
140,hydroelectric_pumped_storage,1549.2,95.48963696300416,0.0616380305725562,28.92,0.9,40322.5776,23
141,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,23
142,onshore_wind_turbine,1549.2,43880.22370108088,28.324440808856757,28.92,0.4,17921.1456,23
143,solar_photovoltaic,1549.2,31431.0468435548,20.28856625584482,28.92,0.4,17921.1456,23
144,Nuclear,500.0,131328.04067697807,262.6560813539561,28.92,0.9,13014.0,24
145,geothermal,2323.8,1415.9091232876713,0.6093076526756482,28.92,0.9,60483.866400000006,24
146,hydroelectric_pumped_storage,1549.2,517.6322200880963,0.3341287245598349,28.92,0.9,40322.5776,24
147,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,24
148,onshore_wind_turbine,1549.2,25984.165900360607,16.772634844023113,28.92,0.4,17921.1456,24
149,solar_photovoltaic,1549.2,41664.67712818964,26.89431779511337,28.92,0.4,17921.1456,24
150,Nuclear,500.0,144486.35764969644,288.97271529939286,28.92,0.9,13014.0,25
151,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,25
152,hydroelectric_pumped_storage,1549.2,-197.12798099510653,-0.1272450174251914,28.92,0.9,40322.5776,25
153,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,25
154,onshore_wind_turbine,1549.2,11060.488549779117,7.139483959320369,28.92,0.4,17921.1456,25
155,solar_photovoltaic,1549.2,43036.84881816339,27.780047003720234,28.92,0.4,17921.1456,25
156,Nuclear,500.0,106364.7870397636,212.72957407952725,28.92,0.9,13014.0,26
157,geothermal,2323.8,1061.9318424657536,0.4569807395067362,28.92,0.9,60483.866400000006,26
158,hydroelectric_pumped_storage,1549.2,2109.9067394256563,1.361933087674707,28.92,0.9,40322.5776,26
159,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,26
160,onshore_wind_turbine,1549.2,45782.11561240911,29.552101479737352,28.92,0.4,17921.1456,26
161,solar_photovoltaic,1549.2,39117.43934860708,25.250089948752308,28.92,0.4,17921.1456,26
162,Nuclear,500.0,83464.50290914977,166.92900581829954,28.92,0.9,13014.0,27
163,geothermal,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,27
164,hydroelectric_pumped_storage,1549.2,1547.4672056578495,0.9988814908713204,28.92,0.9,40322.5776,27
165,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,27
166,onshore_wind_turbine,1549.2,55232.85101763252,35.6524987203928,28.92,0.4,17921.1456,27
167,solar_photovoltaic,1549.2,44694.14900577904,28.849825074734724,28.92,0.4,17921.1456,27
168,Nuclear,500.0,103359.76732281828,206.71953464563651,28.92,0.9,13014.0,28
