,generator,total_cost_$_per_mwh,Hour
241,geothermal,3.539772808219178,242
242,geothermal,3.539772808219178,243
243,geothermal,3.539772808219178,244
244,geothermal,3.539772808219178,245
245,geothermal,3.539772808219178,246
246,geothermal,3.539772808219178,247
247,geothermal,3.539772808219178,248
248,geothermal,3.539772808219178,249
249,geothermal,3.539772808219178,250
250,geothermal,3.539772808219178,251
251,geothermal,3.539772808219178,252
252,geothermal,3.539772808219178,253
253,geothermal,3.539772808219178,254
254,geothermal,3.539772808219178,255
255,geothermal,3.539772808219178,256
256,geothermal,3.539772808219178,257
257,geothermal,3.539772808219178,258
258,geothermal,3.539772808219178,259
259,geothermal,3.539772808219178,260
260,geothermal,3.539772808219178,261
261,geothermal,3.539772808219178,262
262,geothermal,3.539772808219178,263
263,geothermal,3.539772808219178,264
264,geothermal,3.539772808219178,265
265,geothermal,3.539772808219178,266
266,geothermal,3.539772808219178,267
267,geothermal,3.539772808219178,268
268,geothermal,3.539772808219178,269
269,geothermal,3.539772808219178,270
270,geothermal,3.539772808219178,271
271,geothermal,3.539772808219178,272
272,geothermal,3.539772808219178,273
273,geothermal,3.539772808219178,274
274,geothermal,3.539772808219178,275
275,geothermal,3.539772808219178,276
276,geothermal,3.539772808219178,277
277,geothermal,3.539772808219178,278
278,geothermal,3.539772808219178,279
279,geothermal,3.539772808219178,280
280,geothermal,3.539772808219178,281
281,geothermal,3.539772808219178,282
282,geothermal,3.539772808219178,283
283,geothermal,3.539772808219178,284
284,geothermal,3.539772808219178,285
285,geothermal,3.539772808219178,286
286,geothermal,3.539772808219178,287
287,geothermal,3.539772808219178,288
288,geothermal,3.539772808219178,289
289,geothermal,3.539772808219178,290
290,geothermal,3.539772808219178,291
291,geothermal,3.539772808219178,292
292,geothermal,3.539772808219178,293
293,geothermal,3.539772808219178,294
294,geothermal,3.539772808219178,295
295,geothermal,3.539772808219178,296
296,geothermal,3.539772808219178,297
297,geothermal,3.539772808219178,298
298,geothermal,3.539772808219178,299
299,geothermal,3.539772808219178,300
300,geothermal,3.539772808219178,301
301,geothermal,3.539772808219178,302
302,geothermal,3.539772808219178,303
303,geothermal,3.539772808219178,304
304,geothermal,3.539772808219178,305
305,geothermal,3.539772808219178,306
306,geothermal,3.539772808219178,307
307,geothermal,3.539772808219178,308
308,geothermal,3.539772808219178,309
309,geothermal,3.539772808219178,310
310,geothermal,3.539772808219178,311
311,geothermal,3.539772808219178,312
312,geothermal,3.539772808219178,313
313,geothermal,3.539772808219178,314
314,geothermal,3.539772808219178,315
315,geothermal,3.539772808219178,316
316,geothermal,3.539772808219178,317
317,geothermal,3.539772808219178,318
318,geothermal,3.539772808219178,319
319,geothermal,3.539772808219178,320
320,geothermal,3.539772808219178,321
321,geothermal,3.539772808219178,322
322,geothermal,3.539772808219178,323
323,geothermal,3.539772808219178,324
324,geothermal,3.539772808219178,325
325,geothermal,3.539772808219178,326
326,geothermal,3.539772808219178,327
327,geothermal,3.539772808219178,328
328,geothermal,3.539772808219178,329
329,geothermal,3.539772808219178,330
330,geothermal,3.539772808219178,331
331,geothermal,3.539772808219178,332
332,geothermal,3.539772808219178,333
333,geothermal,3.539772808219178,334
334,geothermal,3.539772808219178,335
335,geothermal,3.539772808219178,336
336,geothermal,3.539772808219178,337
337,geothermal,3.539772808219178,338
338,geothermal,3.539772808219178,339
339,geothermal,3.539772808219178,340
340,geothermal,3.539772808219178,341
341,geothermal,3.539772808219178,342
342,geothermal,3.539772808219178,343
343,geothermal,3.539772808219178,344
344,geothermal,3.539772808219178,345
345,geothermal,3.539772808219178,346
346,geothermal,3.539772808219178,347
347,geothermal,3.539772808219178,348
348,geothermal,3.539772808219178,349
349,geothermal,3.539772808219178,350
350,geothermal,3.539772808219178,351
351,geothermal,3.539772808219178,352
352,geothermal,3.539772808219178,353
353,geothermal,3.539772808219178,354
354,geothermal,3.539772808219178,355
355,geothermal,3.539772808219178,356
356,geothermal,3.539772808219178,357
357,geothermal,3.539772808219178,358
358,geothermal,3.539772808219178,359
359,geothermal,3.539772808219178,360
360,geothermal,3.539772808219178,361
361,geothermal,3.539772808219178,362
362,geothermal,3.539772808219178,363
363,geothermal,3.539772808219178,364
364,geothermal,3.539772808219178,365
365,geothermal,3.539772808219178,366
366,geothermal,3.539772808219178,367
367,geothermal,3.539772808219178,368
368,geothermal,3.539772808219178,369
369,geothermal,3.539772808219178,370
370,geothermal,3.539772808219178,371
371,geothermal,3.539772808219178,372
372,geothermal,3.539772808219178,373
373,geothermal,3.539772808219178,374
374,geothermal,3.539772808219178,375
375,geothermal,3.539772808219178,376
376,geothermal,3.539772808219178,377
377,geothermal,3.539772808219178,378
378,geothermal,3.539772808219178,379
379,geothermal,3.539772808219178,380
380,geothermal,3.539772808219178,381
381,geothermal,3.539772808219178,382
382,geothermal,3.539772808219178,383
383,geothermal,3.539772808219178,384
384,geothermal,3.539772808219178,385
385,geothermal,3.539772808219178,386
386,geothermal,3.539772808219178,387
387,geothermal,3.539772808219178,388
388,geothermal,3.539772808219178,389
389,geothermal,3.539772808219178,390
390,geothermal,3.539772808219178,391
391,geothermal,3.539772808219178,392
392,geothermal,3.539772808219178,393
393,geothermal,3.539772808219178,394
394,geothermal,3.539772808219178,395
395,geothermal,3.539772808219178,396
396,geothermal,3.539772808219178,397
397,geothermal,3.539772808219178,398
398,geothermal,3.539772808219178,399
399,geothermal,3.539772808219178,400
400,geothermal,3.539772808219178,401
401,geothermal,3.539772808219178,402
402,geothermal,3.539772808219178,403
403,geothermal,3.539772808219178,404
404,geothermal,3.539772808219178,405
405,geothermal,3.539772808219178,406
406,geothermal,3.539772808219178,407
407,geothermal,3.539772808219178,408
408,geothermal,3.539772808219178,409
409,geothermal,3.539772808219178,410
410,geothermal,3.539772808219178,411
411,geothermal,3.539772808219178,412
412,geothermal,3.539772808219178,413
413,geothermal,3.539772808219178,414
414,geothermal,3.539772808219178,415
415,geothermal,3.539772808219178,416
416,geothermal,3.539772808219178,417
417,geothermal,3.539772808219178,418
418,geothermal,3.539772808219178,419
419,geothermal,3.539772808219178,420
420,geothermal,3.539772808219178,421
421,geothermal,3.539772808219178,422
422,geothermal,3.539772808219178,423
423,geothermal,3.539772808219178,424
424,geothermal,3.539772808219178,425
425,geothermal,3.539772808219178,426
426,geothermal,3.539772808219178,427
427,geothermal,3.539772808219178,428
428,geothermal,3.539772808219178,429
429,geothermal,3.539772808219178,430
430,geothermal,3.539772808219178,431
431,geothermal,3.539772808219178,432
432,geothermal,3.539772808219178,433
433,geothermal,3.539772808219178,434
434,geothermal,3.539772808219178,435
435,geothermal,3.539772808219178,436
436,geothermal,3.539772808219178,437
437,geothermal,3.539772808219178,438
438,geothermal,3.539772808219178,439
439,geothermal,3.539772808219178,440
440,geothermal,3.539772808219178,441
441,geothermal,3.539772808219178,442
442,geothermal,3.539772808219178,443
443,geothermal,3.539772808219178,444
444,geothermal,3.539772808219178,445
445,geothermal,3.539772808219178,446
446,geothermal,3.539772808219178,447
447,geothermal,3.539772808219178,448
448,geothermal,3.539772808219178,449
449,geothermal,3.539772808219178,450
450,geothermal,3.539772808219178,451
451,geothermal,3.539772808219178,452
452,geothermal,3.539772808219178,453
453,geothermal,3.539772808219178,454
454,geothermal,3.539772808219178,455
455,geothermal,3.539772808219178,456
456,geothermal,3.539772808219178,457
457,geothermal,3.539772808219178,458
458,geothermal,3.539772808219178,459
459,geothermal,3.539772808219178,460
460,geothermal,3.539772808219178,461
461,geothermal,3.539772808219178,462
462,geothermal,3.539772808219178,463
463,geothermal,3.539772808219178,464
464,geothermal,3.539772808219178,465
465,geothermal,3.539772808219178,466
466,geothermal,3.539772808219178,467
467,geothermal,3.539772808219178,468
468,geothermal,3.539772808219178,469
469,geothermal,3.539772808219178,470
470,geothermal,3.539772808219178,471
471,geothermal,3.539772808219178,472
472,geothermal,3.539772808219178,473
473,geothermal,3.539772808219178,474
474,geothermal,3.539772808219178,475
475,geothermal,3.539772808219178,476
476,geothermal,3.539772808219178,477
477,geothermal,3.539772808219178,478
478,geothermal,3.539772808219178,479
479,geothermal,3.539772808219178,480
480,geothermal,3.539772808219178,481
481,geothermal,3.539772808219178,482
482,geothermal,3.539772808219178,483
483,geothermal,3.539772808219178,484
484,geothermal,3.539772808219178,485
485,geothermal,3.539772808219178,486
486,geothermal,3.539772808219178,487
487,geothermal,3.539772808219178,488
488,geothermal,3.539772808219178,489
489,geothermal,3.539772808219178,490
490,geothermal,3.539772808219178,491
491,geothermal,3.539772808219178,492
492,geothermal,3.539772808219178,493
493,geothermal,3.539772808219178,494
494,geothermal,3.539772808219178,495
495,geothermal,3.539772808219178,496
496,geothermal,3.539772808219178,497
497,geothermal,3.539772808219178,498
498,geothermal,3.539772808219178,499
499,geothermal,3.539772808219178,500
500,geothermal,3.539772808219178,501
501,geothermal,3.539772808219178,502
502,geothermal,3.539772808219178,503
503,geothermal,3.539772808219178,504
504,geothermal,3.539772808219178,505
505,geothermal,3.539772808219178,506
506,geothermal,3.539772808219178,507
507,geothermal,3.539772808219178,508
508,geothermal,3.539772808219178,509
509,geothermal,3.539772808219178,510
510,geothermal,3.539772808219178,511
511,geothermal,3.539772808219178,512
512,geothermal,3.539772808219178,513
513,geothermal,3.539772808219178,514
514,geothermal,3.539772808219178,515
515,geothermal,3.539772808219178,516
516,geothermal,3.539772808219178,517
517,geothermal,3.539772808219178,518
518,geothermal,3.539772808219178,519
519,geothermal,3.539772808219178,520
520,geothermal,3.539772808219178,521
521,geothermal,3.539772808219178,522
522,geothermal,3.539772808219178,523
523,geothermal,3.539772808219178,524
524,geothermal,3.539772808219178,525
525,geothermal,3.539772808219178,526
526,geothermal,3.539772808219178,527
527,geothermal,3.539772808219178,528
528,geothermal,3.539772808219178,529
529,geothermal,3.539772808219178,530
530,geothermal,3.539772808219178,531
531,geothermal,3.539772808219178,532
532,geothermal,3.539772808219178,533
533,geothermal,3.539772808219178,534
534,geothermal,3.539772808219178,535
535,geothermal,3.539772808219178,536
536,geothermal,3.539772808219178,537
537,geothermal,3.539772808219178,538
538,geothermal,3.539772808219178,539
539,geothermal,3.539772808219178,540
540,geothermal,3.539772808219178,541
541,geothermal,3.539772808219178,542
542,geothermal,3.539772808219178,543
543,geothermal,3.539772808219178,544
544,geothermal,3.539772808219178,545
545,geothermal,3.539772808219178,546
546,geothermal,3.539772808219178,547
547,geothermal,3.539772808219178,548
548,geothermal,3.539772808219178,549
549,geothermal,3.539772808219178,550
550,geothermal,3.539772808219178,551
551,geothermal,3.539772808219178,552
552,geothermal,3.539772808219178,553
553,geothermal,3.539772808219178,554
554,geothermal,3.539772808219178,555
555,geothermal,3.539772808219178,556
556,geothermal,3.539772808219178,557
557,geothermal,3.539772808219178,558
558,geothermal,3.539772808219178,559
559,geothermal,3.539772808219178,560
560,geothermal,3.539772808219178,561
561,geothermal,3.539772808219178,562
562,geothermal,3.539772808219178,563
563,geothermal,3.539772808219178,564
564,geothermal,3.539772808219178,565
565,geothermal,3.539772808219178,566
566,geothermal,3.539772808219178,567
567,geothermal,3.539772808219178,568
568,geothermal,3.539772808219178,569
569,geothermal,3.539772808219178,570
570,geothermal,3.539772808219178,571
571,geothermal,3.539772808219178,572
572,geothermal,3.539772808219178,573
573,geothermal,3.539772808219178,574
574,geothermal,3.539772808219178,575
575,geothermal,3.539772808219178,576
576,geothermal,3.539772808219178,577
577,geothermal,3.539772808219178,578
578,geothermal,3.539772808219178,579
579,geothermal,3.539772808219178,580
580,geothermal,3.539772808219178,581
581,geothermal,3.539772808219178,582
582,geothermal,3.539772808219178,583
583,geothermal,3.539772808219178,584
584,geothermal,3.539772808219178,585
585,geothermal,3.539772808219178,586
586,geothermal,3.539772808219178,587
587,geothermal,3.539772808219178,588
588,geothermal,3.539772808219178,589
589,geothermal,3.539772808219178,590
590,geothermal,3.539772808219178,591
591,geothermal,3.539772808219178,592
592,geothermal,3.539772808219178,593
593,geothermal,3.539772808219178,594
594,geothermal,3.539772808219178,595
595,geothermal,3.539772808219178,596
596,geothermal,3.539772808219178,597
597,geothermal,3.539772808219178,598
598,geothermal,3.539772808219178,599
599,geothermal,3.539772808219178,600
600,geothermal,3.539772808219178,601
601,geothermal,3.539772808219178,602
602,geothermal,3.539772808219178,603
603,geothermal,3.539772808219178,604
604,geothermal,3.539772808219178,605
605,geothermal,3.539772808219178,606
606,geothermal,3.539772808219178,607
607,geothermal,3.539772808219178,608
608,geothermal,3.539772808219178,609
609,geothermal,3.539772808219178,610
610,geothermal,3.539772808219178,611
611,geothermal,3.539772808219178,612
612,geothermal,3.539772808219178,613
613,geothermal,3.539772808219178,614
614,geothermal,3.539772808219178,615
615,geothermal,3.539772808219178,616
616,geothermal,3.539772808219178,617
617,geothermal,3.539772808219178,618
618,geothermal,3.539772808219178,619
619,geothermal,3.539772808219178,620
620,geothermal,3.539772808219178,621
621,geothermal,3.539772808219178,622
622,geothermal,3.539772808219178,623
623,geothermal,3.539772808219178,624
624,geothermal,3.539772808219178,625
625,geothermal,3.539772808219178,626
626,geothermal,3.539772808219178,627
627,geothermal,3.539772808219178,628
628,geothermal,3.539772808219178,629
629,geothermal,3.539772808219178,630
630,geothermal,3.539772808219178,631
631,geothermal,3.539772808219178,632
